	-	6	0	ь	э	υ	σ	v	/	ç	_	3	d	{	}	á	е	^	j	ù	я	ô	w	]	ò	*	5	θ	ó		l	g	γ	ε	2	7	>	è	%	a	ц	щ	)	<	&	:	œ	?	в	í	ß	û	ю	ѣ	4	д	@	ќ	й	з		б	τ	с	и		і	.	k	ф	8	1	x	ê	ï	є	ъ	«	„	[	c	г	â	т	‑	х	#	“	î	у	é	n	к	ж	…	ы	°	о	z	ë	̀	`	à	½	л	m	e	№	y	h	q	’	""""	м	ú	|	f	ý	н	ö	,	 	́		ü	(	i	ч	b	ι	ο	!	ώ	'	ш	”	§	t	а	=	ä	u	r	љ	¾	п	s	~	p	;	—	ї	ё	»	λ	–	o	·	р	9
-	28199	8	22	155	2068	0	0	162	0	0	0	22	58	8	2	0	10773	0	85	0	3406	0	9	0	0	2	16	0	0	0	541	12	0	0	54	11	9	12	0	176	248	167	31	8	35	150	0	893	9803	0	0	0	423	0	22	8454	0	0	534	4706	0	9955	0	18368	14506	0	0	2491	3	1083	16	72	29	9	0	0	91	11	0	2	120	4881	0	38933	0	2222	34	2	1	6012	59	103	13115	1104	444	2147	0	44114	23	0	0	0	11	0	3716	264	565	2	9	57	18	3	680	5269	0	0	21	0	18727	0	4731	115661	0	0	0	20	192	3948	18	0	0	1601	0	33	728	1	0	103	20738	0	0	147	172	0	0	12586	66	0	66	246	99	0	52	108	0	154	253	0	9774	8
6	129	153	186	1	33	0	0	1	0	0	0	134	1	0	93	0	127	0	2	0	39	0	0	555	0	1	150	0	0	0	3	2	0	0	161	136	14	0	1	6	4	1	230	0	0	3	0	4	187	0	0	0	13	0	128	61	0	0	8	21	0	51	0	182	132	0	0	366	0	10	691	296	1	0	0	0	0	50	0	3	18	837	0	87	0	25	0	0	0	46	1	11	82	14	108	12	0	251	0	0	0	0	0	0	61	9	20	7	0	7	0	0	2	94	0	0	1	0	157	0	402	2633	0	0	0	6	5	36	1	0	0	6	0	0	12	0	0	9	120	0	0	1	5	0	0	85	1	0	5	58	68	0	0	2	0	233	5	0	70	130
0	251	112	601	3	34	0	0	1	3	0	0	101	3	0	88	0	204	0	1	0	31	0	0	481	0	3	179	0	0	0	2	0	0	0	98	113	13	0	1	4	4	1	197	0	1	3	0	1	188	0	0	0	11	0	118	105	0	0	13	19	0	44	0	182	169	0	0	331	0	15	143	281	2	0	0	0	3	33	0	9	0	352	0	172	0	94	0	0	0	130	0	1	104	16	108	38	0	262	0	0	0	0	0	0	93	10	5	2	0	12	0	0	6	89	0	0	2	0	115	0	352	2576	0	0	0	4	3	111	0	0	0	3	0	1	10	0	0	1	135	1	0	1	7	0	0	93	1	0	2	8	47	0	0	5	0	216	6	0	194	126
ь	8241	19	16	636	5347	0	0	60	10	1	0	41	16	47	10	1	87436	0	10	0	51141	0	0	28	0	62	34	0	1	0	33	4	0	0	81	22	18	0	0	54	4991	1714	691	28	4	3712	0	8608	53224	0	0	0	17328	0	25	19458	0	0	10444	17774	0	16894	0	72890	60403	9	1	42283	1	1864	28	241	88	0	0	0	49	1177	26	57	23	16705	0	42537	1	8375	1	50	0	21587	0	31	66893	4551	2926	17930	0	120793	4	0	0	8	1	0	13159	111	31	3	2	3	7	2	1118	37885	0	0	6	0	93412	0	93428	495445	1	0	0	656	114	21275	11	0	0	8621	0	10	15684	2	0	13	56442	0	0	14	7	0	0	30829	16	0	36	4622	4983	0	265	2104	0	7347	18	0	23045	23
э	577	0	0	230	130	0	0	0	0	0	0	0	0	1	1	0	1694	0	0	0	217	0	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	124	0	49	1	0	84	0	760	274	0	0	0	233	0	0	527	0	0	3596	594	0	62	0	787	11171	1	0	920	0	381	0	5	1	0	0	0	0	1	0	5	1	6976	0	80212	0	3258	0	1	0	3218	0	0	3023	379	202	140	0	58176	1	0	0	0	0	0	1424	0	2	0	0	0	0	0	21	9134	0	0	0	0	1152	0	3553	43609	0	0	0	16	1	213	0	0	0	487	0	0	38	0	0	2	5465	0	0	0	2	0	0	1225	2	0	0	74	21	0	0	29	0	13	1	0	687	0
υ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
σ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v	72	0	0	2	6	0	0	95	0	0	0	9	63	1	0	0	107	0	1	0	34	1	1	0	0	0	3	0	0	0	367	38	0	0	47	0	0	10	0	458	2	1	14	0	43	1	1	10	161	0	0	0	4	0	2	66	0	0	2	23	0	24	0	128	49	0	4	329	3	3	2	13	34	0	0	0	0	10	0	25	147	67	0	68	0	16	37	0	0	43	24	311	73	11	11	17	0	158	113	0	0	0	0	0	47	26	1120	0	62	12	11	0	17	50	0	0	7	0	141	0	150	1541	0	0	0	5	2589	43	13	0	0	27	0	3	9	0	0	342	112	0	0	873	601	0	0	104	868	0	11	5	11	0	0	10	0	46	1262	0	61	1
/	0	2	2	0	2	0	0	0	38	0	0	3	0	0	0	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	2	0	0	0	5	0	5	0	9	5	0	0	2	0	0	3	6	0	0	0	0	0	0	0	0	0	6	0	4	0	2	0	0	0	4	0	0	7	0	0	5	0	14	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	10	0	0	0	0	18	0	0	80	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6	0
ç	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	9	0	0	0
